epoch,loss,lr,val_loss
0,0.027196526527404785,0.00025,0.060946427285671234
1,0.0241684652864933,0.00025,0.06528649479150772
2,0.025348490104079247,0.00025,0.062407493591308594
3,0.02533317357301712,0.00025,0.07082165777683258
4,0.02133239060640335,0.00025,0.07065500319004059
5,0.025357825681567192,0.00025,0.06418471783399582
6,0.022131746634840965,0.00025,0.06563220173120499
7,0.022606372833251953,0.00025,0.07396920025348663
8,0.023639285936951637,0.00025,0.06463147699832916
9,0.025002453476190567,0.00025,0.06739440560340881
10,0.023754164576530457,0.00025,0.06714785844087601
11,0.023171868175268173,0.00025,0.0706695020198822
12,0.027860267087817192,0.00025,0.062180109322071075
13,0.022578908130526543,0.000125,0.0681777223944664
14,0.024696510285139084,0.000125,0.07671041041612625
15,0.021973975002765656,0.000125,0.06781937181949615
16,0.022232647985219955,0.000125,0.0656874030828476
17,0.02431878261268139,0.000125,0.06543208658695221
18,0.025529781356453896,0.000125,0.06620369851589203
19,0.022841647267341614,0.000125,0.06486835330724716
20,0.022627411410212517,0.000125,0.06924715638160706
21,0.024610405787825584,0.000125,0.06650596857070923
22,0.024169472977519035,0.000125,0.07009601593017578
23,0.022232571616768837,0.000125,0.0712018758058548
24,0.02286445163190365,0.000125,0.06494911760091782
25,0.02144978754222393,6.25e-05,0.06610917299985886
26,0.025821052491664886,6.25e-05,0.06918250024318695
27,0.021518265828490257,6.25e-05,0.06739179790019989
28,0.02179940976202488,6.25e-05,0.06669583171606064
29,0.021372854709625244,6.25e-05,0.07179169356822968
30,0.02124612219631672,6.25e-05,0.07515901327133179
